;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región;País Origen;Ciudad Origen;Ciudad Destino;Aerolínea;;;
Norteamérica;Canadá;Toronto;Bogotá;Air Canada;;;
Europa;Alemania;Frankfurt;Bogotá;Lufthansa;;;
Norteamérica;Estados Unidos;New York;Bogotá;Avianca;;;
Suramérica;Perú;Lima (PE);Medellín;Viva Air Colombia;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;Medellín;Air Panama;;;
Caribe y Centroamérica;Cuba;Habana;Bogotá;Avianca;;;
Europa;España;Madrid;Cali;Avianca;;;
Europa;España;Madrid;Medellín;Iberia;;;
Caribe y Centroamérica;Aruba;Aruba;Bogotá;LATAM;;;
Norteamérica;México;Ciudad de México;Bogotá;Avianca;;;
Norteamérica;México;Cancún;Bogotá;LATAM;;;
Suramérica;Brasil;Sao Paulo;Bogotá;Avianca;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;Barranquilla;Copa Airlines;;;
Norteamérica;Estados Unidos;Miami;Bogotá;LATAM;;;
Suramérica;Perú;Lima (PE);Medellín;Viva Air Peru;;;
Norteamérica;Estados Unidos;Miami;Cartagena;American Airlines;;;
Suramérica;Ecuador;Guayaquil;Cali;Avianca;;;
Caribe y Centroamérica;El Salvador;San Salvador;Medellín;Avianca;;;
Norteamérica;Estados Unidos;Atlanta;Cartagena;Delta Air Lines;;;
Norteamérica;México;Ciudad de México;Bogotá;Interjet;;;
Suramérica;Perú;Lima (PE);Cali;LATAM;;;
Norteamérica;Estados Unidos;Miami;Bogotá;Avianca;;;
Suramérica;Venezuela;Caracas;Cali;Avior Airlines;;;
Caribe y Centroamérica;Panamá;Ciudad de Panamá;Pereira;Copa Airlines;;;
Norteamérica;Estados Unidos;Fort Lauderdale;Cartagena;Spirit Airlines;;;
Europa;Francia;Paris (FR);Bogotá;Air France;;;
Norteamérica;Estados Unidos;Miami;Pereira;American Airlines;;;
Norteamérica;México;Cancún;Bogotá;Avianca;;;
Suramérica;Perú;Lima (PE);Cali;Avianca;;;
Suramérica;Venezuela;Porlamar;Medellín;Avior Airlines;;;
Suramérica;Perú;Lima (PE);Medellín;LATAM;;;
Norteamérica;Estados Unidos;Miami;Medellín;Viva Air Colombia;;;
Suramérica;Brasil;Rio de Janeiro;Bogotá;Avianca;;;
Norteamérica;México;Cancún;Medellín;Interjet;;;
Norteamérica;Estados Unidos;Fort Lauderdale;Bogotá;JetBlue;;;
Norteamérica;Estados Unidos;Orlando;Bogotá;JetBlue;;;
Suramérica;Ecuador;Esmeraldas;Cali;TAME del Ecuador;;;
Norteamérica;Estados Unidos;Miami;Cali;American Airlines;;;
Norteamérica;Estados Unidos;Miami;Medellín;Avianca;;;
Caribe y Centroamérica;República Dominicana;Santo Domingo;Bogotá;Avianca;;;
Caribe y Centroamérica;Puerto Rico;San Juan;Bogotá;Avianca;;;
Europa;Turquía;Estambul;Bogotá;Turkish Airlines;;;
Suramérica;Perú;Lima (PE);Bogotá;Viva Air Colombia;;;
Norteamérica;Estados Unidos;Miami;Barranquilla;American Airlines;;;
Suramérica;Argentina;Buenos Aires;Bogotá;Avianca;;;
Norteamérica;Estados Unidos;Miami;Barranquilla;Avianca;;;
Caribe y Centroamérica;República Dominicana;Punta Cana;Bogotá;Avianca;;;
Europa;España;Madrid;Bogotá;Avianca;;;
Norteamérica;Estados Unidos;Orlando;Bogotá;Avianca;;;
Caribe y Centroamérica;Costa Rica;San Jose;Bogotá;Avianca;;;
Suramérica;Venezuela;Caracas;Medellín;Avior Airlines;;;
Norteamérica;México;Ciudad de México;Bogotá;Aeromexico;;;
Europa;España;Barcelona;Bogotá;Avianca;;;
Suramérica;Chile;Santiago;Bogotá;Avianca;;;
